H1,CD4,CD8
73,44,38
2,15,21
27,2,2
5,7,6
26,38,22
73,19,21
28,10,10
17,5,8
13,22,24
39,8,9
19,7,8
2,95,166
105,82,80
7,21,17
22,2,3
10,13,9
117,27,38
16,35,34
51,55,54
14,11,13
11,3,3
12,12,11
4,16,11
11,8,8
14,68,72
9,6,15
6,6,11
6,86,69
17,11,11
9,23,24
44,17,10
8,3,2
4,29,21
15,35,25
26,9,10
5,23,38
42,41,34
27,15,10
10,11,12
21,27,16
6,4,8
4,28,34
18,8,7
26,13,12
9,7,4
7,9,14
31,42,41
12,5,4
3,21,27
20,20,23
8,5,14
9,5,3
3,7,8
32,127,120
30,23,10
46,102,70
6,154,57
26,8,13
33,7,3
72,76,58
27,6,8
4,6,3
1,1,2
20,13,11
24,29,29
22,10,13
9,10,9
13,4,6
16,51,34
6,4,4
51,24,25
16,31,26
17,7,5
28,45,39
15,31,22
7,13,13
2,10,8
3,42,20
8,9,7
49,18,22
6,11,20
23,58,61
25,21,13
2,22,22
32,15,8
10,7,9
8,11,11
8,24,24
17,20,20
98,3,1
17,17,15
10,8,11
3,18,11
21,21,18
2,2,1
8,2,5
11,3,2
29,40,44
5,123,226
24,26,23
5,8,10
1,11,7
25,18,16
2,8,4
3,2,5
1,1,4
21,18,20
272,39,53
24,16,23
40,38,35
1,43,17
1,48,44
1,89,118
15,3,3
2,21,4
1,1,3
189,46,14
2,2,2
4,14,12
43,16,11
4,13,12
2,22,11
16,3,6
11,22,29
11,15,13
10,21,22
7,6,21
43,3,3
23,2,3
6,2,4
8,19,23
14,6,5
41,24,31
66,81,81
8,33,27
3,20,22
2,16,9
7,9,6
10,6,5
22,12,13
33,17,22
3,45,30
3,5,7
45,20,34
32,29,29
10,4,6
30,15,13
65,85,86
2,20,7
7,4,3
16,32,14
30,75,79
24,36,43
1,45,82
41,61,48
4,15,11
2,7,4
15,22,21
14,18,15
26,21,19
88,15,20
44,51,45
164,54,49
38,16,23
19,3,4
16,20,16
3,6,9
24,40,43
18,11,15
107,7,9
24,13,13
62,9,21
50,14,63
2,6,8
12,3,2
4,23,13
